PITTI ENGINEERING LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Sep-20,Dec-20,Mar-21,Jun-21,Sep-21,Dec-21,Mar-22,Jun-22,Sep-22,Dec-22
Sales, 134.95 , 151.32 , 170.34 , 175.38 , 242.23 , 264.83 , 271.39 , 310.54 , 304.17 , 237.96 
Expenses, 110.92 , 126.10 , 143.62 , 147.43 , 207.19 , 230.55 , 236.03 , 275.08 , 267.62 , 199.14 
Operating Profit, 24.03 , 25.22 , 26.72 , 27.95 , 35.04 , 34.28 , 35.36 , 35.46 , 36.55 , 38.82 
Other Income, 0.42 , 0.37 , 19.17 , 0.46 , 0.28 , 0.63 , 15.07 , 0.52 , 0.36 , 1.12 
Depreciation, 7.23 , 7.79 , 8.46 , 8.98 , 9.31 , 9.43 , 11.14 , 10.28 , 10.61 , 11.00 
Interest, 6.29 , 7.69 , 9.11 , 9.25 , 8.19 , 9.88 , 12.29 , 10.70 , 12.03 , 11.99 
Profit before tax, 10.93 , 10.11 , 28.32 , 10.18 , 17.82 , 15.60 , 27.00 , 15.00 , 14.27 , 16.95 
Tax, 0.83 , 2.86 , 7.11 , 2.82 , 4.66 , 4.00 , 7.22 , 3.29 , 4.12 , 4.82 
Net profit, 10.09 , 7.26 , 21.21 , 7.36 , 13.15 , 11.60 , 19.79 , 11.71 , 10.15 , 12.13 
,,,,,,,,,,
OPM,18%,17%,16%,16%,14%,13%,13%,11%,12%,16%
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
